id,name,lat,lon,region,break_type,difficulty,coast_orientation_deg,swell_min_deg,swell_max_deg,wind_offshore_min_deg,wind_offshore_max_deg,tide_preference,cdip_transect_id
ocean-beach-north,Ocean Beach (North),37.7807,-122.5139,San Francisco,beach,advanced,270,230,320,60,140,mid,SF035
ocean-beach-south,Ocean Beach (South),37.7327,-122.5086,San Francisco,beach,intermediate,270,220,300,60,140,mid,SF018
linda-mar,Linda Mar,37.5994,-122.507,Pacifica,beach,beginner,260,230,310,40,120,any,SM381
camp-at-francis-beach-campground,Camp at Francis Beach Campground,37.465623,-122.445657,Half Moon Bay,beach,intermediate,270,220,310,60,140,any,SM267
surf-under-the-golden-gate-at-fort-point,Surf Under The Golden Gate at Fort Point,37.8103229,-122.4764512,San Francisco,point,intermediate,350,250,330,120,220,low,SF071
exploring-rodeo-beach,Exploring Rodeo Beach,37.8322123,-122.5394024,Marin,beach,intermediate,270,230,310,40,120,any,MA049
new-brighton-campground,New Brighton Campground,36.9815089,-121.93623,Santa Cruz,beach,beginner,180,180,280,310,50,any,SC103
surf-at-natural-bridges-state-beach,Surf at Natural Bridges State Beach,36.95172545,-122.0571034,Santa Cruz,reef,intermediate,180,220,300,310,50,any,SC166
surf-cowell's-cove,Surf Cowell's Cove,36.957201,-122.025872,Santa Cruz,point,beginner,160,180,280,300,40,any,SC146
camp-at-manresa-beach,Camp at Manresa Beach,36.9325618,-121.861319,Santa Cruz,beach,intermediate,220,200,300,10,90,any,SC052
"surf,-run,-or-catch-a-sunset-at-marina-state-beach","Surf, Run, or Catch a Sunset at Marina State Beach",36.69391362,-121.8094641,Monterey,beach,intermediate,260,220,310,40,120,any,M0831
camp-at-andrew-molera-state-park,Camp at Andrew Molera State Park,36.28718219,-121.8503874,Big Sur,point,intermediate,240,210,310,20,100,any,M0420
surf-at-big-sur's-sand-dollar-beach,Surf at Big Sur's Sand Dollar Beach,35.917753,-121.466532,Big Sur,beach,intermediate,240,210,300,20,100,any,M0109
camp-at-san-simeon-state-park,Camp at San Simeon State Park,35.5941686,-121.1109613,Central Coast,beach,beginner,240,210,300,20,100,any,SL567
explore-navarro-beach,Explore Navarro Beach,39.193086,-123.762012,Mendocino,beach,intermediate,280,230,320,60,140,any,M0370
explore-the-rock-at-morro-bay,Explore The Rock at Morro Bay,35.3688053,-120.8649012,Central Coast,beach,intermediate,250,200,300,20,100,any,SL351
camp-at-montaña-de-oro-state-park,Camp at Montaña de Oro State Park,35.273957,-120.884676,Central Coast,reef,intermediate,260,210,310,30,110,any,SL300
